               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048811,            0.016064,           0.0069865,             0.84885,             0.53927,             0.62489,             0.34218,            0.025607,           0.0057672,           0.0024323,           0.0033313,           0.0033313,            0.070018
                   1,            0.029194,            0.009796,           0.0016754,             0.80801,             0.83118,              0.8471,             0.45841,            0.021207,           0.0042238,           0.0014668,           0.0065327,           0.0065327,            0.039886
                   2,            0.025109,           0.0088573,           0.0012382,             0.85231,             0.86463,             0.89097,             0.53604,            0.017986,           0.0039183,           0.0011353,            0.009602,            0.009602,           0.0096224
                   3,             0.02143,           0.0084928,          0.00095842,             0.87443,             0.88512,             0.90641,             0.59381,            0.016065,           0.0035909,          0.00082836,            0.009406,            0.009406,            0.009406
                   4,            0.019356,           0.0079655,          0.00075059,             0.88614,             0.88057,             0.91545,              0.6143,            0.015227,           0.0035325,          0.00072079,            0.009406,            0.009406,            0.009406
                   5,            0.018013,            0.007691,          0.00062487,             0.88582,              0.8961,             0.92122,             0.64264,            0.013901,            0.003165,          0.00063855,            0.009208,            0.009208,            0.009208
                   6,            0.017215,           0.0074395,          0.00061179,             0.87573,             0.90758,             0.93073,             0.65389,            0.013294,           0.0030669,          0.00059155,             0.00901,             0.00901,             0.00901
                   7,             0.01659,           0.0073314,           0.0005471,             0.90643,             0.89956,             0.93241,             0.66277,            0.012781,           0.0029954,          0.00057768,            0.008812,            0.008812,            0.008812
                   8,            0.016068,           0.0071877,          0.00054639,             0.90423,             0.90255,             0.93543,             0.67018,             0.01254,           0.0029154,          0.00053442,            0.008614,            0.008614,            0.008614
                   9,            0.015709,           0.0071173,          0.00053769,             0.90376,             0.89724,             0.93414,             0.67689,            0.012298,           0.0028858,          0.00054255,            0.008416,            0.008416,            0.008416
                  10,            0.015465,           0.0070048,          0.00050154,             0.90752,             0.90997,             0.94218,             0.68971,            0.011824,           0.0027968,          0.00050078,            0.008218,            0.008218,            0.008218
                  11,             0.01509,           0.0068986,           0.0004657,             0.89844,             0.92274,             0.94258,             0.69307,            0.011515,           0.0027322,          0.00048823,             0.00802,             0.00802,             0.00802
                  12,            0.014859,           0.0068478,          0.00045534,             0.90807,             0.91053,              0.9447,             0.70008,            0.011258,           0.0027096,          0.00048342,            0.007822,            0.007822,            0.007822
                  13,            0.014608,           0.0067598,          0.00044307,             0.90684,             0.91539,             0.94476,             0.70288,            0.011185,           0.0026526,          0.00045008,            0.007624,            0.007624,            0.007624
                  14,            0.014414,            0.006652,          0.00045962,             0.90425,             0.92588,             0.94404,             0.70824,            0.010933,            0.002598,          0.00045473,            0.007426,            0.007426,            0.007426
                  15,            0.014164,           0.0066302,          0.00043571,             0.90717,             0.91428,             0.94424,              0.7131,            0.010851,           0.0025767,          0.00046315,            0.007228,            0.007228,            0.007228
                  16,            0.014067,            0.006615,          0.00043213,              0.8993,             0.92557,             0.94638,             0.71759,            0.010604,           0.0025585,          0.00044034,             0.00703,             0.00703,             0.00703
                  17,            0.013754,           0.0065089,          0.00040696,             0.91023,             0.91841,               0.946,             0.72114,            0.010403,           0.0025147,          0.00041989,            0.006832,            0.006832,            0.006832
                  18,            0.013647,            0.006465,          0.00039624,             0.91896,              0.9162,             0.94796,             0.72422,            0.010263,           0.0024709,           0.0004216,            0.006634,            0.006634,            0.006634
                  19,            0.013528,           0.0064807,          0.00037146,             0.90545,             0.93445,             0.95021,             0.72748,            0.010185,           0.0024605,          0.00041312,            0.006436,            0.006436,            0.006436
                  20,            0.013287,           0.0063775,          0.00039969,              0.9214,             0.91561,             0.94984,             0.73006,            0.010134,           0.0024478,          0.00041239,            0.006238,            0.006238,            0.006238
                  21,            0.013237,           0.0063207,          0.00033635,             0.91581,              0.9213,             0.95006,             0.73261,            0.010027,           0.0024242,           0.0004097,             0.00604,             0.00604,             0.00604
                  22,             0.01309,           0.0062838,           0.0003845,             0.90785,             0.93343,             0.94937,             0.73491,           0.0099361,            0.002392,          0.00039641,            0.005842,            0.005842,            0.005842
                  23,            0.012938,           0.0062279,          0.00032729,             0.90828,              0.9327,             0.95269,             0.73645,           0.0098521,           0.0023698,          0.00038751,            0.005644,            0.005644,            0.005644
                  24,            0.012832,           0.0062308,          0.00034989,             0.90832,             0.93252,              0.9515,             0.73761,           0.0097747,           0.0023663,             0.00039,            0.005446,            0.005446,            0.005446
                  25,            0.012651,            0.006121,          0.00033102,             0.92039,             0.92115,             0.95181,              0.7413,           0.0096632,           0.0023546,          0.00038657,            0.005248,            0.005248,            0.005248
                  26,            0.012531,           0.0060897,          0.00035867,             0.91689,             0.92527,             0.95191,             0.74265,           0.0096067,           0.0023343,          0.00038766,             0.00505,             0.00505,             0.00505
                  27,            0.012432,           0.0061048,          0.00035342,             0.90863,             0.93458,             0.95211,             0.74486,           0.0095464,           0.0023237,          0.00038149,            0.004852,            0.004852,            0.004852
                  28,            0.012288,           0.0060109,          0.00032833,             0.91866,             0.92459,             0.95348,             0.74683,           0.0094817,           0.0023143,          0.00037494,            0.004654,            0.004654,            0.004654
                  29,            0.012191,           0.0060162,          0.00034062,             0.93216,              0.9107,             0.95272,             0.74817,           0.0094366,           0.0023056,          0.00036659,            0.004456,            0.004456,            0.004456
                  30,            0.012021,           0.0058918,          0.00030907,             0.92882,             0.91392,             0.95282,             0.74874,           0.0093889,           0.0023021,           0.0003619,            0.004258,            0.004258,            0.004258
                  31,            0.011881,           0.0059083,           0.0003167,             0.89839,             0.94529,             0.95324,             0.74992,            0.009364,           0.0022904,          0.00035968,             0.00406,             0.00406,             0.00406
                  32,              0.0118,           0.0058403,          0.00032672,              0.9021,              0.9422,             0.95336,              0.7508,           0.0093359,           0.0022799,          0.00035798,            0.003862,            0.003862,            0.003862
                  33,            0.011695,            0.005872,          0.00033972,              0.9038,             0.94029,             0.95404,             0.75214,           0.0092959,           0.0022768,          0.00035592,            0.003664,            0.003664,            0.003664
                  34,            0.011612,           0.0057693,          0.00031434,             0.91175,             0.93083,             0.95383,             0.75243,           0.0092675,           0.0022745,          0.00035483,            0.003466,            0.003466,            0.003466
                  35,            0.011378,           0.0057607,          0.00030309,             0.91086,              0.9317,             0.95387,             0.75346,           0.0092305,           0.0022736,          0.00035304,            0.003268,            0.003268,            0.003268
                  36,            0.011257,           0.0056977,           0.0002965,             0.90925,             0.93436,             0.95494,             0.75527,           0.0091999,           0.0022682,          0.00035053,             0.00307,             0.00307,             0.00307
                  37,            0.011175,           0.0056717,          0.00026949,             0.91102,             0.93434,              0.9546,             0.75543,           0.0091793,           0.0022613,          0.00034863,            0.002872,            0.002872,            0.002872
                  38,            0.010994,            0.005585,          0.00029227,             0.91039,              0.9345,             0.95489,             0.75623,           0.0091623,           0.0022567,          0.00034674,            0.002674,            0.002674,            0.002674
                  39,            0.010873,            0.005544,          0.00030577,             0.91113,             0.93407,             0.95492,             0.75651,            0.009146,           0.0022525,           0.0003448,            0.002476,            0.002476,            0.002476
                  40,            0.010798,           0.0055005,          0.00028917,             0.91134,             0.93335,             0.95504,             0.75716,           0.0091334,           0.0022468,          0.00034299,            0.002278,            0.002278,            0.002278
                  41,            0.010619,           0.0054849,          0.00026735,             0.91286,             0.93222,              0.9552,             0.75686,            0.009116,           0.0022417,           0.0003412,             0.00208,             0.00208,             0.00208
                  42,            0.010468,           0.0053886,          0.00027182,             0.90721,             0.93842,              0.9551,             0.75793,           0.0091009,           0.0022381,          0.00033905,            0.001882,            0.001882,            0.001882
                  43,            0.010394,           0.0053494,          0.00025467,             0.90822,             0.93724,             0.95513,             0.75835,           0.0090899,           0.0022346,          0.00033719,            0.001684,            0.001684,            0.001684
                  44,            0.010242,           0.0053263,          0.00028023,             0.90767,             0.93844,             0.95519,             0.75803,           0.0090753,           0.0022309,          0.00033573,            0.001486,            0.001486,            0.001486
                  45,            0.010086,           0.0052799,          0.00023959,             0.90805,             0.93805,             0.95532,             0.75876,           0.0090596,           0.0022277,          0.00033394,            0.001288,            0.001288,            0.001288
                  46,           0.0099119,           0.0052139,          0.00023206,             0.90962,             0.93696,             0.95567,             0.75897,           0.0090457,           0.0022237,          0.00033163,             0.00109,             0.00109,             0.00109
                  47,           0.0098456,           0.0051665,          0.00026602,             0.90714,             0.94048,             0.95584,             0.75878,           0.0090321,           0.0022205,          0.00032952,            0.000892,            0.000892,            0.000892
                  48,           0.0096761,           0.0051205,          0.00023463,              0.9074,             0.94039,             0.95624,             0.75947,           0.0090179,           0.0022173,          0.00032734,            0.000694,            0.000694,            0.000694
                  49,            0.009603,           0.0051116,          0.00024764,             0.90564,             0.94237,             0.95628,             0.75961,            0.009008,           0.0022144,          0.00032521,            0.000496,            0.000496,            0.000496
